Architecture,Geometry,Budget,Rank,Source_unit,Ingredient_Class
MLR+RF,MLR+RF,15,1,Barley::RealV6_大麦_sample2,Barley
MLR+RF,MLR+RF,15,2,Barley::RealV6_大麦_sample10,Barley
MLR+RF,MLR+RF,15,3,Brown rice::RealV6_糙米_sample3,Brown rice
MLR+RF,MLR+RF,15,4,Brown rice::RealV6_糙米_sample8,Brown rice
MLR+RF,MLR+RF,15,5,Cassava::RealV6_木薯_sample1,Cassava
MLR+RF,MLR+RF,15,6,Cassava::RealV6_木薯_sample9,Cassava
MLR+RF,MLR+RF,15,7,Paddy rice::RealV6_稻谷_sample9,Paddy rice
MLR+RF,MLR+RF,15,8,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
MLR+RF,MLR+RF,15,9,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
MLR+RF,MLR+RF,15,10,Rapeseed cake::RealV6_菜籽饼_sample6,Rapeseed cake
MLR+RF,MLR+RF,15,11,Rice bran::RealV6_米糠_sample1,Rice bran
MLR+RF,MLR+RF,15,12,Rice bran::RealV6_米糠_sample10,Rice bran
MLR+RF,MLR+RF,15,13,Sorghum::RealV6_高粱_sample6,Sorghum
MLR+RF,MLR+RF,15,14,Wheat bran::RealV6_小麦麸_sample7,Wheat bran
MLR+RF,MLR+RF,15,15,Wheat::RealV6_小麦_sample4,Wheat
MLR+RF,MLR+RF,18,1,Barley::RealV6_大麦_sample3,Barley
MLR+RF,MLR+RF,18,2,Barley::RealV6_大麦_sample7,Barley
MLR+RF,MLR+RF,18,3,Brown rice::RealV6_糙米_sample3,Brown rice
MLR+RF,MLR+RF,18,4,Brown rice::RealV6_糙米_sample8,Brown rice
MLR+RF,MLR+RF,18,5,Cassava::RealV6_木薯_sample2,Cassava
MLR+RF,MLR+RF,18,6,Cassava::RealV6_木薯_sample7,Cassava
MLR+RF,MLR+RF,18,7,Paddy rice::RealV6_稻谷_sample4,Paddy rice
MLR+RF,MLR+RF,18,8,Paddy rice::RealV6_稻谷_sample8,Paddy rice
MLR+RF,MLR+RF,18,9,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
MLR+RF,MLR+RF,18,10,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
MLR+RF,MLR+RF,18,11,Rapeseed cake::RealV6_菜籽饼_sample6,Rapeseed cake
MLR+RF,MLR+RF,18,12,Rice bran::RealV6_米糠_sample1,Rice bran
MLR+RF,MLR+RF,18,13,Rice bran::RealV6_米糠_sample10,Rice bran
MLR+RF,MLR+RF,18,14,Rice bran::RealV6_米糠_sample5,Rice bran
MLR+RF,MLR+RF,18,15,Sorghum::RealV6_高粱_sample6,Sorghum
MLR+RF,MLR+RF,18,16,Wheat bran::RealV6_小麦麸_sample7,Wheat bran
MLR+RF,MLR+RF,18,17,Wheat::RealV6_小麦_sample1,Wheat
MLR+RF,MLR+RF,18,18,Wheat::RealV6_小麦_sample2,Wheat
MLR+RF,MLR+RF,21,1,Barley::RealV6_大麦_sample3,Barley
MLR+RF,MLR+RF,21,2,Barley::RealV6_大麦_sample7,Barley
MLR+RF,MLR+RF,21,3,Brown rice::RealV6_糙米_sample3,Brown rice
MLR+RF,MLR+RF,21,4,Brown rice::RealV6_糙米_sample6,Brown rice
MLR+RF,MLR+RF,21,5,Cassava::RealV6_木薯_sample2,Cassava
MLR+RF,MLR+RF,21,6,Cassava::RealV6_木薯_sample7,Cassava
MLR+RF,MLR+RF,21,7,Paddy rice::RealV6_稻谷_sample1,Paddy rice
MLR+RF,MLR+RF,21,8,Paddy rice::RealV6_稻谷_sample11,Paddy rice
MLR+RF,MLR+RF,21,9,Rapeseed cake::RealV6_菜籽饼_sample10,Rapeseed cake
MLR+RF,MLR+RF,21,10,Rapeseed cake::RealV6_菜籽饼_sample3,Rapeseed cake
MLR+RF,MLR+RF,21,11,Rapeseed cake::RealV6_菜籽饼_sample6,Rapeseed cake
MLR+RF,MLR+RF,21,12,Rice bran::RealV6_米糠_sample1,Rice bran
MLR+RF,MLR+RF,21,13,Rice bran::RealV6_米糠_sample10,Rice bran
MLR+RF,MLR+RF,21,14,Rice bran::RealV6_米糠_sample5,Rice bran
MLR+RF,MLR+RF,21,15,Sorghum::RealV6_高粱_sample2,Sorghum
MLR+RF,MLR+RF,21,16,Sorghum::RealV6_高粱_sample5,Sorghum
MLR+RF,MLR+RF,21,17,Wheat bran::RealV6_小麦麸_sample1,Wheat bran
MLR+RF,MLR+RF,21,18,Wheat bran::RealV6_小麦麸_sample7,Wheat bran
MLR+RF,MLR+RF,21,19,Wheat::RealV6_小麦_sample2,Wheat
MLR+RF,MLR+RF,21,20,Wheat::RealV6_小麦_sample1,Wheat
MLR+RF,MLR+RF,21,21,Wheat::RealV6_小麦_sample7,Wheat
