Role,Sampling,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_R2_mean,UN_RMSE_mean,UN_R2_mean
local_only_boundary,RSGS,TargetOnlyRF,9,504,0.6240809083835109,0.044202975971278056,0.5513317814433111,0.6231381162547233,0.7057345569783036,2.103092306493822,0.5692352786812842,2.5648263715635697,0.623014148335061
local_only_boundary,RSGS,TargetOnlyRF,12,504,0.6199650734709912,0.06505131372046336,0.501187212234214,0.6226287289271444,0.7640972540800004,1.9723155689141172,0.605902393471539,2.7046318414160053,0.5608279842799261
local_only_boundary,RSGS,TargetOnlyRidge,3,504,0.62700155797508,0.09112315862009955,0.5040760347253926,0.6071634722063243,0.7846890151505577,1.4915924101070717,0.775288141274513,3.4097763011747713,0.28983272752342787
local_only_boundary,RSGS,TargetOnlyRidge,6,504,0.616533361431476,0.1128691685034949,0.4702508920599122,0.5911974608148424,0.9130750437402071,1.7211910419615388,0.7051998234079492,3.011672940421171,0.41581653612762154
local_only_boundary,RSGS,TargetOnlyRidge,9,504,0.5391211548706402,0.049832169264750995,0.45701400808533194,0.534228416552222,0.6444311981573517,1.7401872434831283,0.7046553554094263,2.3183471470345305,0.6907229186205801
local_only_boundary,RSGS,TargetOnlyRidge,12,504,0.6271154584764607,0.07435570548081591,0.5023148779535082,0.6236957545249558,0.7804699449886037,1.7817870338649693,0.680127315136074,3.021735540821231,0.4460554386234146
local_only_boundary,P2-PAM,TargetOnlyElasticNet,3,504,0.8484012381694432,0.07773001847985948,0.7044159551590748,0.8529888397488644,1.0126438035763006,2.49575323699063,0.37988713227648857,3.9737249942671418,0.12247185200488711
local_only_boundary,P2-PAM,TargetOnlyElasticNet,6,504,0.6589365144842018,0.061057333658829004,0.5474863531990891,0.6588462726910849,0.7791944451651255,1.5178332203317557,0.7748989929679196,3.6501121480761123,0.2732677052483798
local_only_boundary,P2-PAM,TargetOnlyElasticNet,9,504,0.6500921877899813,0.08114507446269696,0.49976952350016285,0.656330830668642,0.7993957671840133,1.5653371145827064,0.7656782233789174,3.5101274315118096,0.32382387196485096
local_only_boundary,P2-PAM,TargetOnlyElasticNet,12,504,0.5737580535446356,0.06158583594271714,0.46728476378041,0.5689725080071725,0.721939825032983,1.5437154422516466,0.7749190839474588,2.8805532306575192,0.5529651972228454
