source_specific_diet_id,ingredient_class,PC1,PC2,measured_source_specific_diets,budget_display_label,sampling_strategy,selected_or_selection_frequency,value_semantics,main_figure_role
Brown rice::RealV6_糙米_sample6,Brown rice,-0.3418417394656088,-1.729517984758093,3,3 measured sources,Random sampling,0.03571428571428571,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample7,Brown rice,1.424089213857041,-0.9570798051674237,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample7,Brown rice,1.424089213857041,-0.9570798051674237,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample7,Brown rice,1.424089213857041,-0.9570798051674237,3,3 measured sources,Random sampling,0.03571428571428571,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample8,Brown rice,-0.5721213586535814,-1.852737144722216,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample8,Brown rice,-0.5721213586535814,-1.852737144722216,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample8,Brown rice,-0.5721213586535814,-1.852737144722216,3,3 measured sources,Random sampling,0.03174603174603174,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample9,Brown rice,-1.079589580506131,-2.037403474501972,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample9,Brown rice,-1.079589580506131,-2.037403474501972,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample9,Brown rice,-1.079589580506131,-2.037403474501972,3,3 measured sources,Random sampling,0.03571428571428571,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample1,Cassava,0.8232101943681034,-3.313161646362198,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample1,Cassava,0.8232101943681034,-3.313161646362198,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample1,Cassava,0.8232101943681034,-3.313161646362198,3,3 measured sources,Random sampling,0.04563492063492063,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample10,Cassava,0.5299866661970197,-2.893670086261805,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample10,Cassava,0.5299866661970197,-2.893670086261805,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample10,Cassava,0.5299866661970197,-2.893670086261805,3,3 measured sources,Random sampling,0.0376984126984127,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample2,Cassava,0.6785566912389767,-3.535046875545175,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample2,Cassava,0.6785566912389767,-3.535046875545175,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample2,Cassava,0.6785566912389767,-3.535046875545175,3,3 measured sources,Random sampling,0.03174603174603174,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample3,Cassava,0.5303034373596398,-3.106859567078819,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample3,Cassava,0.5303034373596398,-3.106859567078819,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample3,Cassava,0.5303034373596398,-3.106859567078819,3,3 measured sources,Random sampling,0.0376984126984127,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample4,Cassava,0.1720896722508738,-2.554198339143862,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample4,Cassava,0.1720896722508738,-2.554198339143862,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample4,Cassava,0.1720896722508738,-2.554198339143862,3,3 measured sources,Random sampling,0.02182539682539682,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample5,Cassava,0.5576893798126512,-2.930087856146992,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample5,Cassava,0.5576893798126512,-2.930087856146992,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample5,Cassava,0.5576893798126512,-2.930087856146992,3,3 measured sources,Random sampling,0.02579365079365079,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample6,Cassava,-0.8360923070415075,-3.049464806118369,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample6,Cassava,-0.8360923070415075,-3.049464806118369,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample6,Cassava,-0.8360923070415075,-3.049464806118369,3,3 measured sources,Random sampling,0.03968253968253968,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample7,Cassava,-0.1333303391821832,-3.207213181121578,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample7,Cassava,-0.1333303391821832,-3.207213181121578,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample7,Cassava,-0.1333303391821832,-3.207213181121578,3,3 measured sources,Random sampling,0.02777777777777778,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample8,Cassava,0.124220585401976,-2.672811255094662,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample8,Cassava,0.124220585401976,-2.672811255094662,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample8,Cassava,0.124220585401976,-2.672811255094662,3,3 measured sources,Random sampling,0.02976190476190476,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample9,Cassava,0.3940315858700931,-3.03265443597257,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample9,Cassava,0.3940315858700931,-3.03265443597257,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Cassava::RealV6_木薯_sample9,Cassava,0.3940315858700931,-3.03265443597257,3,3 measured sources,Random sampling,0.02777777777777778,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Paddy rice::RealV6_稻谷_sample1,Paddy rice,-1.049226983394747,-0.02751743003969962,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Paddy rice::RealV6_稻谷_sample1,Paddy rice,-1.049226983394747,-0.02751743003969962,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Paddy rice::RealV6_稻谷_sample1,Paddy rice,-1.049226983394747,-0.02751743003969962,3,3 measured sources,Random sampling,0.02380952380952381,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Paddy rice::RealV6_稻谷_sample10,Paddy rice,-1.151277711811641,-0.6542412091819854,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Paddy rice::RealV6_稻谷_sample10,Paddy rice,-1.151277711811641,-0.6542412091819854,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
