Domain,Observation_ID,Study_or_target_group,Grain,PC1,PC2,PC1_explained_variance,PC2_explained_variance
Historical 906,V44_9e6ce7c67f11,Liu2009_LivSci,record,-0.7110020704687605,-1.227294191326684,0.3581851925549009,0.2292279722724193
Historical 906,V44_560f68889cf4,Paiano2009_ABMVZ,record,0.5063742553445822,1.156650148949094,0.3581851925549009,0.2292279722724193
Historical 906,V44_8d0a362a3b98,Paiano2009_ABMVZ,record,0.5404366290373699,1.099635490092233,0.3581851925549009,0.2292279722724193
Historical 906,V44_3c61d6e0c390,Paiano2009_ABMVZ,record,0.4759767734189558,1.205905758852666,0.3581851925549009,0.2292279722724193
Historical 906,V44_d16c5050c068,Paiano2009_ABMVZ,record,0.4347905352548035,1.273611764360236,0.3581851925549009,0.2292279722724193
Historical 906,V44_ca8e5af4be1e,Paiano2009_ABMVZ,record,0.496933156633675,1.170114235549684,0.3581851925549009,0.2292279722724193
Historical 906,V44_0acba1bab97b,Yoo2009_AJAS,record,3.586124956536544,0.9553640492083657,0.3581851925549009,0.2292279722724193
Historical 906,V44_c5cfe70d21d1,Yoo2009_AJAS,record,3.489499672481676,1.006897488787503,0.3581851925549009,0.2292279722724193
Historical 906,V44_040132ac7fee,Yoo2009_AJAS,record,3.606469266374183,0.9448484841075389,0.3581851925549009,0.2292279722724193
Historical 906,V44_52b44bd88601,Yoo2009_AJAS,record,3.541090588604768,0.9992362562900863,0.3581851925549009,0.2292279722724193
Historical 906,V44_fca224ce264a,Galassi2010_AFST,record,-4.356452279747936,-1.255076697140561,0.3581851925549009,0.2292279722724193
Historical 906,V44_03e62c535f95,Galassi2010_AFST,record,-4.215767086185456,-2.916686450960398,0.3581851925549009,0.2292279722724193
Historical 906,V44_72ac0dcd7074,Galassi2010_AFST,record,-4.823363880638159,-1.824348886276341,0.3581851925549009,0.2292279722724193
Historical 906,V44_d63add74c0af,Galassi2010_AFST,record,-4.817940558633083,-1.934863168526184,0.3581851925549009,0.2292279722724193
Historical 906,V44_d932a3a5c7d6,Jin2010_AAJS,record,-1.22050266492792,0.9579495710474036,0.3581851925549009,0.2292279722724193
Historical 906,V44_3c0af51c16d1,Jin2010_AAJS,record,-1.000640693201858,0.7529777803576286,0.3581851925549009,0.2292279722724193
